discount,levels,material,price,product_upper,region,rooms,seller,space,square_1,square_2,url
3000.0,2.0,Железобетон,1066800.0,CYKADA,Ленинградская обл,,архитектурного бюро ТЕРРИТОРИЯ,762.0,397.0,215.0,https://www.territoriaby.ru/katalog/proektyi-mini-gostinicz/cykada
3000.0,2.0,Железобетон,876400.0,CYKADA 2,Ленинградская обл,,архитектурного бюро ТЕРРИТОРИЯ,626.0,307.9,195.0,https://www.territoriaby.ru/katalog/proektyi-mini-gostinicz/cykada-2
6000.0,2.0,Железобетон,1569400.0,CYKADA 3,Ленинградская обл,,архитектурного бюро ТЕРРИТОРИЯ,1121.0,710.2,410.0,https://www.territoriaby.ru/katalog/proektyi-mini-gostinicz/cykada-3
6000.0,2.0,Монолит,1703800.0,CYKADA 4,Ленинградская обл,,архитектурного бюро ТЕРРИТОРИЯ,1217.0,694.8,363.9,https://www.territoriaby.ru/katalog/proektyi-mini-gostinicz/cykada-4
4000.0,2.0,Железобетон,1325800.0,GOSCIENEC,Ленинградская обл,,архитектурного бюро ТЕРРИТОРИЯ,947.0,527.0,420.0,https://www.territoriaby.ru/katalog/proektyi-mini-gostinicz/goscienec
6000.0,2.0,Железобетон,1204000.0,HORYZONT,Ленинградская обл,,архитектурного бюро ТЕРРИТОРИЯ,860.0,446.0,413.0,https://www.territoriaby.ru/katalog/proektyi-mini-gostinicz/horyzont
200000.0,2.0,Железобетон,48400000.0,HOTEL QUEEN,Ленинградская обл,,архитектурного бюро ТЕРРИТОРИЯ,880.0,226.0,215.0,https://www.territoriaby.ru/katalog/proektyi-mini-gostinicz/queen
180000.0,2.0,Железобетон,43395000.0,HOTEL-1,Ленинградская обл,,архитектурного бюро ТЕРРИТОРИЯ,789.0,299.9,296.5,https://www.territoriaby.ru/katalog/proektyi-mini-gostinicz/hotel-1
180000.0,2.0,Железобетон,61050000.0,HOTEL-2,Ленинградская обл,,архитектурного бюро ТЕРРИТОРИЯ,1110.0,302.0,294.0,https://www.territoriaby.ru/katalog/proektyi-mini-gostinicz/hotel-2
600.0,2.0,Деревянный,332360.0,POLANA,Ленинградская обл,,архитектурного бюро ТЕРРИТОРИЯ,237.4,295.0,142.3,https://www.territoriaby.ru/katalog/proektyi-mini-gostinicz/polana
500.0,1.0,Деревянный,231000.0,POLANA 2,Ленинградская обл,,архитектурного бюро ТЕРРИТОРИЯ,165.0,165.0,,https://www.territoriaby.ru/katalog/proektyi-mini-gostinicz/polana-2
3000.0,2.0,Монолит,1387400.0,POLANA 3,Ленинградская обл,,архитектурного бюро ТЕРРИТОРИЯ,991.0,458.0,333.0,https://www.territoriaby.ru/katalog/proektyi-mini-gostinicz/polana-3
,2.0,Каркас из клеевых профильных блоков,4070000.0,ГОСТИНИЦА «СНЕЖИНКА»,г. Киров,73,БАЛКЕР,407 м2,,,
,2.0,Каркас из клеевых профильных блоков,2810000.0,ОТЕЛЬ «ПЭЧВОРК»,г. Киров,8,БАЛКЕР,281 м2,,,
,2.0,Каркас из клеевых профильных блоков,2520000.0,ОТЕЛЬ «ДОМБАЙ»,г. Киров,4,БАЛКЕР,252 м2,,,
,1.0,Каркас из клеевых профильных блоков,2290000.0,ОТЕЛЬ «ХАЙТЕК 1»,г. Киров,3,БАЛКЕР,229 м2,,,
,3.0,Каркас из клеевых профильных блоков,2690000.0,ОТЕЛЬ «БЕЛЫЙ БИМ»,г. Киров,7,БАЛКЕР,269 м2,,,
,2.0,Каркас из клеевых профильных блоков,3999000.0,ОТЕЛЬ С БАНЕЙ «АРХЫЗ»,г. Киров,9,БАЛКЕР,311 м2 + 88 м2,,,
,2.0,Каркас из клеевых профильных блоков,3180000.0,ОТЕЛЬ «БЕРЕГ»,г. Киров,8,БАЛКЕР,318 м2,,,
,3.0,Каркас из клеевых профильных блоков,9930000.0,ОТЕЛЬ «ФАРАОН»,г. Киров,17,БАЛКЕР,993 м2,,,
,2.0,Каркас из клеевых профильных блоков,3040000.0,ОТЕЛЬ «ХАЙТЕК 2»,г. Киров,5,БАЛКЕР,304 м2,,,
,3.0,Каркас из клеевых профильных блоков,2930000.0,ОТЕЛЬ «ХАЙТЕК 3»,г. Киров,5,БАЛКЕР,293 м2,,,
,2.0,Каркас из клеевых профильных блоков,6280000.0,ОТЕЛЬ «КУМЁНЫ»,г. Киров,16,БАЛКЕР,628 м2,,,
,1.0,Каркас из клеевых профильных блоков,2380000.0,ОТЕЛЬ «НИЖНИЙ НОВГОРОД»,г. Киров,12,БАЛКЕР,238 м2,,,
,3.0,ЛСТК каркас,7560018.0,ЛСТК каркас гостиницы Беляус,Европейская часть РФ,13,ФАБРИКА КАРКАСОВ,499.0,,,
,2.0,ЛСТК каркас,11200027.0,ЛСТК каркас гостиницы Литер,Европейская часть РФ,36,ФАБРИКА КАРКАСОВ,986.0,,,
,1.0,ЛСТК каркас,924002.0,ЛСТК каркас мини-отеля 80м²,Европейская часть РФ,4,ФАБРИКА КАРКАСОВ,80.0,,,
,2.0,ЛСТК каркас,2660006.0,ЛСТК каркас мини-отеля А2,Европейская часть РФ,8,ФАБРИКА КАРКАСОВ,195.4,,,
,2.0,ЛСТК каркас,2380006.0,ЛСТК каркас мини-отеля А3,Европейская часть РФ,4,ФАБРИКА КАРКАСОВ,177.0,,,
,3.0,ЛСТК каркас,2856007.0,ЛСТК каркас мини-отеля А8,Европейская часть РФ,10,ФАБРИКА КАРКАСОВ,208.0,,,
,2.0,ЛСТК каркас,6104015.0,ЛСТК каркас отеля 562м²,Европейская часть РФ,11,ФАБРИКА КАРКАСОВ,562.0,,,
